,delito,categoria,calidad,competencia,año,mes,fecha,hora,alcaldia,colonia
55357,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-19,10:10:00,IZTACALCO,SANTA ANITA
55365,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-15,21:00:00,MIGUEL HIDALGO,PERIODISTA
55371,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,18:45:00,GUSTAVO A. MADERO,CUAUTEPEC DE MADERO
55380,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,18:40:00,TLALPAN,NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 6 (U HAB)
55384,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,19:01:00,AZCAPOTZALCO,PLENITUD
55388,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,19:35:00,COYOACAN,ROMERO DE TERREROS (FRACC)
55391,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,19:23:00,ALVARO OBREGON,JARDINES DEL PEDREGAL
55398,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-15,21:00:00,MIGUEL HIDALGO,SAN MIGUEL CHAPULTEPEC II
55417,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,20:00:00,MIGUEL HIDALGO,POPOTLA II
55424,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,20:53:00,MIGUEL HIDALGO,LOMAS VIRREYES (LOMAS DE CHAPULTEPEC)
